geneID	control	heat
MAA_00001	247	83
MAA_00002	75	0
MAA_00003	953	261
MAA_00004	552	319
MAA_00005	1	6
MAA_00006	10	12
MAA_00007	38	77
MAA_00008	0	0
MAA_00009	0	2
MAA_00010	0	4
MAA_00011	2	0
MAA_00012	59	11
MAA_00013	0	0
MAA_00014	3	2
MAA_00015	20	7
MAA_00016	96	117
MAA_00017	120	171
MAA_00018	14	188
MAA_00019	7	8
MAA_00020	915	746
MAA_00021	25	142
MAA_00022	7	164
MAA_00023	125	172
MAA_00024	1435	881
MAA_00025	1459	1284
MAA_00026	400	369
MAA_00027	45	161
MAA_00028	438	421
MAA_00029	909	1349
MAA_00030	1417	898
MAA_00031	375	308
MAA_00032	1143	924
MAA_00033	752	749
MAA_00034	16	460
MAA_00035	371	740
MAA_00036	304	1210
MAA_00037	692	1060
MAA_00038	2	2
MAA_00039	12	6
MAA_00040	4483	1045
MAA_00041	51	128
MAA_00042	93	163
MAA_00043	1602	477
MAA_00044	3668	2051
MAA_00045	697	725
MAA_00046	10	21
MAA_00047	47	72
MAA_00048	593	524
MAA_00049	70	677
MAA_00050	240	591
MAA_00051	2	13
MAA_00052	0	0
MAA_00053	84	21
MAA_00054	16	1
MAA_00055	2	1
MAA_00056	0	0
MAA_00057	2	0
MAA_00058	0	0
MAA_00059	52	124
MAA_00060	3	11
MAA_00061	0	0
MAA_00062	15	6
MAA_00063	0	0
MAA_00064	2	11
MAA_00065	90	71
MAA_00066	20	101
MAA_00067	43	56
MAA_00068	237	1638
MAA_00069	0	3
MAA_00070	76	102
MAA_00071	47	92
MAA_00072	95	118
MAA_00073	345	45
MAA_00074	187	286
MAA_00075	150	175
MAA_00076	1	4
MAA_00077	0	0
MAA_00078	25	13
MAA_00079	36	12
MAA_00080	0	0
MAA_00081	0	1
MAA_00082	0	0
MAA_00083	0	0
MAA_00084	0	0
MAA_00085	0	0
MAA_00086	5	3
MAA_00087	4	6
MAA_00088	2	3
MAA_00089	25	16
MAA_00091	122	87
MAA_00092	22	42
MAA_00093	1	4
MAA_00094	9	40
MAA_00095	5	13
MAA_00096	0	0
MAA_00097	2	12
MAA_00098	5	10
MAA_00099	1	0
MAA_00100	1	0
MAA_00101	0	0
MAA_00102	0	0
MAA_00103	0	0
MAA_00104	2	0
MAA_00105	0	0
MAA_00106	0	0
MAA_00107	0	0
MAA_00108	0	0
MAA_00109	2	0
MAA_00110	1	1
MAA_00111	0	4
MAA_00112	0	4
MAA_00113	0	1
MAA_00114	0	2
MAA_00115	0	0
MAA_00116	0	0
MAA_00117	2	0
MAA_00118	2	20
MAA_00119	0	0
MAA_00120	11	4
MAA_00121	0	0
MAA_00122	0	60
MAA_00123	0	36
MAA_00124	8	126
MAA_00125	25	433
MAA_00126	5	7
MAA_00127	6	5
MAA_00129	24	33
MAA_00130	55	40
MAA_00131	1	12
MAA_00132	113	77
MAA_00133	94	124
MAA_00134	4	3
MAA_00135	87	100
MAA_00136	0	11
MAA_00137	805	602
MAA_00138	713	437
MAA_00139	19	79
MAA_00140	163	116
MAA_00141	8	21
MAA_00142	57	256
MAA_00144	348	671
MAA_00145	671	1041
MAA_00146	0	0
MAA_00147	1	0
MAA_00148	1485	5
MAA_00149	265	1
MAA_00150	410	1
MAA_00151	2	16
MAA_00152	3	0
MAA_00153	3	1
MAA_00154	0	0
MAA_00155	0	1
MAA_00156	0	2
MAA_00157	0	0
MAA_00158	0	0
MAA_00159	0	0
MAA_00160	0	0
MAA_00161	2	1
MAA_00162	0	0
MAA_00163	3995	852
MAA_00164	5	4
MAA_00165	152	421
MAA_00166	1001	733
MAA_00167	25	79
MAA_00168	62	93
MAA_00169	78	269
MAA_00170	447	240
MAA_00171	376	503
MAA_00172	45	117
MAA_00173	23	38
MAA_00174	1721	1967
MAA_00175	301	292
MAA_00176	150	162
MAA_00177	92	88
MAA_00178	162	269
MAA_00179	41	14
MAA_00180	1094	1104
MAA_00181	582	611
MAA_00182	545	511
MAA_00183	11	78
MAA_00184	22	76
MAA_00185	2546	1237
MAA_00187	415	468
MAA_00188	55	94
MAA_00189	18	51
MAA_00190	3	13
MAA_00191	519	413
MAA_00192	93	275
MAA_00193	7771	3905
MAA_00194	712	1043
MAA_00195	27	32
MAA_00196	134	134
MAA_00197	2097	1182
MAA_00198	16	17
MAA_00199	181	293
MAA_00200	177	815
MAA_00201	518	590
MAA_00202	0	1
MAA_00203	577	338
MAA_00204	192	117
MAA_00205	3448	2273
MAA_00206	3	25
MAA_00207	1052	1564
MAA_00208	645	810
MAA_00209	29	267
MAA_00210	184	508
MAA_00211	2191	2031
MAA_00212	649	948
MAA_00213	300	509
MAA_00215	3557	635
MAA_00216	1884	885
MAA_00217	91	91
MAA_00218	6	10
MAA_00219	84	79
MAA_00220	313	456
MAA_00221	55	115
MAA_00222	324	559
MAA_00223	55	122
MAA_00224	1614	1650
MAA_00225	846	448
MAA_00227	1287	1102
MAA_00228	1142	701
MAA_00229	1118	508
MAA_00230	357	496
MAA_00231	9	39
MAA_00232	96	111
MAA_00233	122	403
MAA_00234	513	1179
MAA_00235	416	1081
MAA_00236	207	222
MAA_00237	392	604
MAA_00238	145	152
MAA_00240	341	380
MAA_00241	195	486
MAA_00242	199	175
MAA_00243	118	194
MAA_00244	1693	768
MAA_00245	892	667
MAA_00246	373	580
MAA_00247	849	570
MAA_00248	52	60
MAA_00249	134	167
MAA_00250	42	97
MAA_00251	166	930
MAA_00253	248	308
MAA_00254	589	697
MAA_00255	46	68
MAA_00256	71	66
MAA_00257	97	268
MAA_00258	65	233
MAA_00259	2092	1103
MAA_00260	198	2236
MAA_00261	358	1192
MAA_00262	441	543
MAA_00263	13	40
