id,protein_id,go_id,ontology,description,,,,
,KID59140.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59140.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59140.1,3676,MF,nucleic acid binding,,,,
,KID59140.1,15074,BP,DNA integration,,,,
,KID59140.1,902,BP,cell morphogenesis,,,,
,KID59141.1,15074,BP,DNA integration,,,,
,KID59141.1,3676,MF,nucleic acid binding,,,,
,KID59141.1,3887,MF,DNA-directed DNA polymerase activity,,,,
,KID59141.1,16787,MF,hydrolase activity,,,,
,KID59141.1,71897,BP,DNA biosynthetic process,,,,
,KID59142.1,19901,MF,protein kinase binding,,,,
,KID59142.1,7165,BP,signal transduction,,,,
,KID59142.1,32421,CC,stereocilium bundle,,,,
,KID59142.1,19208,MF,phosphatase regulator activity,,,,
,KID59142.1,5216,MF,ion channel activity,,,,
,KID59142.1,50790,BP,regulation of catalytic activity,,,,
,KID59142.1,502,CC,proteasome complex,,,,
,KID59142.1,6811,BP,ion transport,,,,
,KID59142.1,31224,CC,intrinsic component of membrane,,,,
,KID59142.1,50955,BP,thermoception,,,,
,KID59142.1,50968,BP,detection of chemical stimulus involved in sensory perception of pain,,,,
,KID59142.1,5737,CC,cytoplasm,,,,
,KID59142.1,50966,BP,detection of mechanical stimulus involved in sensory perception of pain,,,,
,KID59142.1,48265,BP,response to pain,,,,
,KID59142.1,15085,MF,calcium ion transmembrane transporter activity,,,,
,KID59142.1,44459,CC,plasma membrane part,,,,
,KID59142.1,5634,CC,nucleus,,,,
,KID59142.1,55085,BP,transmembrane transport,,,,
,KID59142.1,51289,BP,protein homotetramerization,,,,
,KID59142.1,42542,BP,response to hydrogen peroxide,,,,
,KID59142.1,22834,MF,ligand-gated channel activity,,,,
,KID59142.1,1904855,MF,proteasome regulatory particle binding,,,,
,KID59142.1,51283,BP,negative regulation of sequestering of calcium ion,,,,
,KID59142.1,42802,MF,identical protein binding,,,,
,KID59142.1,22839,MF,ion gated channel activity,,,,
,KID59142.1,8270,MF,zinc ion binding,,,,
,KID59142.1,19706,MF,protein-cysteine S-palmitoyltransferase activity,,,,
,KID59142.1,45263,CC,proton-transporting ATP synthase complex,,,,
,KID59142.1,7204,BP,positive regulation of cytosolic calcium ion concentration,,,,
,KID59142.1,19866,CC,organelle inner membrane,,,,
,KID59142.1,9409,BP,response to cold,,,,
,KID59142.1,9,MF,alpha-1,,,,
,KID59142.1,19948,MF,SUMO activating enzyme activity,,,,
,KID59142.1,16301,MF,kinase activity,,,,
,KID59142.1,8081,MF,phosphoric diester hydrolase activity,,,,
,KID59142.1,14070,BP,response to organic cyclic compound,,,,
,KID59142.1,35639,MF,purine ribonucleoside triphosphate binding,,,,
,KID59142.1,32555,MF,purine ribonucleotide binding,,,,
,KID59142.1,16773,MF,phosphotransferase activity,,,,
,KID59142.1,3924,MF,GTPase activity,,,,
,KID59142.1,32550,MF,purine ribonucleoside binding,,,,
,KID59142.1,19001,MF,guanyl nucleotide binding,,,,
,KID59142.1,30554,MF,adenyl nucleotide binding,,,,
,KID59142.1,8144,MF,drug binding,,,,
,KID59142.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59142.1,70682,BP,proteasome regulatory particle assembly,,,,
,KID59142.1,4842,MF,ubiquitin-protein transferase activity,,,,
,KID59142.1,51649,BP,establishment of localization in cell,,,,
,KID59142.1,15078,MF,proton transmembrane transporter activity,,,,
,KID59142.1,3677,MF,DNA binding,,,,
,KID59142.1,32446,BP,protein modification by small protein conjugation,,,,
,KID59142.1,48037,MF,cofactor binding,,,,
,KID59142.1,5509,MF,calcium ion binding,,,,
,KID59142.1,46906,MF,tetrapyrrole binding,,,,
,KID59142.1,9055,MF,electron transfer activity,,,,
,KID59142.1,9116,BP,nucleoside metabolic process,,,,
,KID59142.1,6468,BP,protein phosphorylation,,,,
,KID59142.1,6629,BP,lipid metabolic process,,,,
,KID59142.1,97502,BP,mannosylation,,,,
,KID59142.1,7064,BP,mitotic sister chromatid cohesion,,,,
,KID59142.1,6915,BP,apoptotic process,,,,
,KID59142.1,30154,BP,cell differentiation,,,,
,KID59142.1,18205,BP,peptidyl-lysine modification,,,,
,KID59142.1,6754,BP,ATP biosynthetic process,,,,
,KID59142.1,50793,BP,regulation of developmental process,,,,
,KID59142.1,6508,BP,proteolysis,,,,
,KID59142.1,1901575,BP,organic substance catabolic process,,,,
,KID59142.1,22900,BP,electron transport chain,,,,
,KID59143.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59143.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59143.1,5871,CC,kinesin complex,,,,
,KID59143.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59143.1,3676,MF,nucleic acid binding,,,,
,KID59143.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59143.1,5887,CC,integral component of plasma membrane,,,,
,KID59143.1,8270,MF,zinc ion binding,,,,
,KID59143.1,3777,MF,microtubule motor activity,,,,
,KID59143.1,4527,MF,exonuclease activity,,,,
,KID59143.1,16813,MF,hydrolase activity,,,,
,KID59143.1,15299,MF,solute:proton antiporter activity,,,,
,KID59143.1,9116,BP,nucleoside metabolic process,,,,
,KID59143.1,55085,BP,transmembrane transport,,,,
,KID59143.1,15672,BP,monovalent inorganic cation transport,,,,
,KID59143.1,15074,BP,DNA integration,,,,
,KID59143.1,6355,BP,regulation of transcription,,,,
,KID59143.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59143.1,16491,MF,oxidoreductase activity,,,,
,KID59143.1,55114,BP,oxidation-reduction process,,,,
,KID59143.1,6508,BP,proteolysis,,,,
,KID59144.1,5887,CC,integral component of plasma membrane,,,,
,KID59144.1,55085,BP,transmembrane transport,,,,
,KID59145.1,9116,BP,nucleoside metabolic process,,,,
,KID59145.1,4190,MF,aspartic-type endopeptidase activity,,,,
,KID59145.1,16021,CC,integral component of membrane,,,,
,KID59145.1,46873,MF,metal ion transmembrane transporter activity,,,,
,KID59145.1,4525,MF,ribonuclease III activity,,,,
,KID59145.1,30001,BP,metal ion transport,,,,
,KID59145.1,6508,BP,proteolysis,,,,
,KID59145.1,46983,MF,protein dimerization activity,,,,
