organism,id,protein_id,go_id,ontology,description,
5530,,KFG77459.1,7264,BP,small GTPase mediated signal transduction,
5530,,KFG77459.1,3924,MF,GTPase activity,
5530,,KFG77459.1,5938,CC,cell cortex,
5530,,KFG77459.1,5525,MF,GTP binding,
5530,,KFG77459.1,32153,CC,cell division site,
5530,,KFG77459.1,120038,CC,plasma membrane bounded cell projection part,
5530,,KFG77459.1,131,CC,incipient cellular bud site,
5530,,KFG77459.1,5934,CC,cellular bud tip,
5530,,KFG77459.1,5937,CC,mating projection,
5530,,KFG77459.1,32956,BP,regulation of actin cytoskeleton organization,
5530,,KFG77459.1,5935,CC,cellular bud neck,
5530,,KFG77459.1,148,CC,1,
5530,,KFG77459.1,51286,CC,cell tip,
5530,,KFG77459.1,30950,BP,establishment or maintenance of actin cytoskeleton polarity,
5530,,KFG77459.1,329,CC,fungal-type vacuole membrane,
5530,,KFG77459.1,51017,BP,actin filament bundle assembly,
5530,,KFG77459.1,32879,BP,regulation of localization,
5530,,KFG77459.1,5777,CC,peroxisome,
5530,,KFG77459.1,40012,BP,regulation of locomotion,
5530,,KFG77459.1,19901,MF,protein kinase binding,
5530,,KFG77459.1,31681,MF,G-protein beta-subunit binding,
5530,,KFG77459.1,8408,MF,3'-5' exonuclease activity,
5530,,KFG77459.1,1903395,BP,regulation of secondary cell septum biogenesis,
5530,,KFG77459.1,16477,BP,cell migration,
5530,,KFG77459.1,44309,CC,neuron spine,
5530,,KFG77459.1,90334,BP,regulation of cell wall (1->3)-beta-D-glucan biosynthetic process,
5530,,KFG77459.1,5794,CC,Golgi apparatus,
5530,,KFG77459.1,3676,MF,nucleic acid binding,
5530,,KFG77459.1,98590,CC,plasma membrane region,
5530,,KFG77459.1,8360,BP,regulation of cell shape,
5530,,KFG77459.1,97447,CC,dendritic tree,
5530,,KFG77459.1,98794,CC,postsynapse,
5530,,KFG77459.1,90037,BP,positive regulation of protein kinase C signaling,
5530,,KFG77459.1,32186,BP,cellular bud neck septin ring organization,
5530,,KFG77459.1,32889,BP,regulation of vacuole fusion,
5530,,KFG77459.1,60237,BP,regulation of fungal-type cell wall organization,
5530,,KFG77459.1,32467,BP,positive regulation of cytokinesis,
5530,,KFG77459.1,30428,CC,cell septum,
5530,,KFG77459.1,7117,BP,budding cell bud growth,
5530,,KFG77459.1,31254,CC,cell trailing edge,
5530,,KFG77459.1,16021,CC,integral component of membrane,
5530,,KFG77459.1,45931,BP,positive regulation of mitotic cell cycle,
5530,,KFG77459.1,8361,BP,regulation of cell size,
5530,,KFG77459.1,51495,BP,positive regulation of cytoskeleton organization,
5530,,KFG77459.1,44089,BP,positive regulation of cellular component biogenesis,
5530,,KFG77459.1,31532,BP,actin cytoskeleton reorganization,
5530,,KFG77459.1,31032,BP,actomyosin structure organization,
5530,,KFG77459.1,90505,BP,epiboly involved in wound healing,
5530,,KFG77459.1,34613,BP,cellular protein localization,
5530,,KFG77459.1,917,BP,division septum assembly,
5530,,KFG77459.1,19953,BP,sexual reproduction,
5530,,KFG77459.1,1904515,BP,positive regulation of TORC2 signaling,
5530,,KFG77459.1,43327,BP,chemotaxis to cAMP,
5530,,KFG77459.1,43652,BP,engulfment of apoptotic cell,
5530,,KFG77459.1,51897,BP,positive regulation of protein kinase B signaling,
5530,,KFG77459.1,30865,BP,cortical cytoskeleton organization,
5530,,KFG77459.1,32101,BP,regulation of response to external stimulus,
5530,,KFG77459.1,6364,BP,rRNA processing,
5530,,KFG77459.1,90305,BP,nucleic acid phosphodiester bond hydrolysis,
5530,,KFG77459.1,8033,BP,tRNA processing,
5530,,KFG77460.1,30248,MF,cellulose binding,
5530,,KFG77460.1,5975,BP,carbohydrate metabolic process,
5530,,KFG77460.1,5576,CC,extracellular region,
5530,,KFG77460.1,4553,MF,hydrolase activity,
5530,,KFG77460.1,6032,BP,chitin catabolic process,
5530,,KFG77460.1,8061,MF,chitin binding,
5530,,KFG77460.1,9405,BP,pathogenesis,
5530,,KFG77461.1,43531,MF,ADP binding,
5530,,KFG77461.1,9116,BP,nucleoside metabolic process,
5530,,KFG77461.1,3824,MF,catalytic activity,
5530,,KFG77465.1,50957,BP,equilibrioception,
5530,,KFG77465.1,19707,MF,protein-cysteine S-acyltransferase activity,
5530,,KFG77465.1,16021,CC,integral component of membrane,
5530,,KFG77465.1,16409,MF,palmitoyltransferase activity,
5530,,KFG77465.1,7605,BP,sensory perception of sound,
5530,,KFG77465.1,5216,MF,ion channel activity,
5530,,KFG77465.1,5634,CC,nucleus,
5530,,KFG77465.1,50953,BP,sensory perception of light stimulus,
5530,,KFG77465.1,7165,BP,signal transduction,
5530,,KFG77465.1,15085,MF,calcium ion transmembrane transporter activity,
5530,,KFG77465.1,34220,BP,ion transmembrane transport,
5530,,KFG77465.1,8270,MF,zinc ion binding,
5530,,KFG77465.1,43565,MF,sequence-specific DNA binding,
5530,,KFG77465.1,6816,BP,calcium ion transport,
5530,,KFG77465.1,16301,MF,kinase activity,
5530,,KFG77465.1,3700,MF,DNA-binding transcription factor activity,
5530,,KFG77465.1,9116,BP,nucleoside metabolic process,
5530,,KFG77465.1,16773,MF,phosphotransferase activity,
5530,,KFG77465.1,16310,BP,phosphorylation,
5530,,KFG77465.1,5524,MF,ATP binding,
5530,,KFG77465.1,6355,BP,regulation of transcription,
5530,,KFG77465.1,6464,BP,cellular protein modification process,
5530,,KFG77466.1,9116,BP,nucleoside metabolic process,
5530,,KFG77466.1,3824,MF,catalytic activity,
5530,,KFG77467.1,8233,MF,peptidase activity,
5530,,KFG77467.1,6508,BP,proteolysis,
5530,,KFG77467.1,16021,CC,integral component of membrane,
5530,,KFG77467.1,3676,MF,nucleic acid binding,
5530,,KFG77468.1,4672,MF,protein kinase activity,
5530,,KFG77468.1,6468,BP,protein phosphorylation,
5530,,KFG77468.1,5876,CC,spindle microtubule,
5530,,KFG77468.1,42729,CC,DASH complex,
5530,,KFG77468.1,5524,MF,ATP binding,
5530,,KFG77468.1,8608,BP,attachment of spindle microtubules to kinetochore,
5530,,KFG77468.1,55114,BP,oxidation-reduction process,
5530,,KFG77468.1,71949,MF,FAD binding,
5530,,KFG77468.1,16705,MF,oxidoreductase activity,
5530,,KFG77468.1,5506,MF,iron ion binding,
5530,,KFG77468.1,20037,MF,heme binding,
5530,,KFG77468.1,16021,CC,integral component of membrane,
5530,,KFG77469.1,9116,BP,nucleoside metabolic process,
5530,,KFG77469.1,4672,MF,protein kinase activity,
5530,,KFG77469.1,16021,CC,integral component of membrane,
5530,,KFG77469.1,32559,MF,adenyl ribonucleotide binding,
5530,,KFG77469.1,35639,MF,purine ribonucleoside triphosphate binding,
5530,,KFG77469.1,8144,MF,drug binding,
5530,,KFG77469.1,6468,BP,protein phosphorylation,
5530,,KFG77469.1,30515,MF,snoRNA binding,
5530,,KFG77469.1,46873,MF,metal ion transmembrane transporter activity,
5530,,KFG77469.1,462,BP,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA,
5530,,KFG77469.1,16813,MF,hydrolase activity,
5530,,KFG77469.1,30001,BP,metal ion transport,
5530,,KFG77469.1,55085,BP,transmembrane transport,
5530,,KFG77470.1,4672,MF,protein kinase activity,
5530,,KFG77470.1,6468,BP,protein phosphorylation,
5530,,KFG77470.1,16021,CC,integral component of membrane,
5530,,KFG77470.1,5524,MF,ATP binding,
5530,,KFG77470.1,18212,BP,peptidyl-tyrosine modification,
5530,,KFG77470.1,51301,BP,cell division,
5530,,KFG77472.1,3723,MF,RNA binding,
5530,,KFG77472.1,5975,BP,carbohydrate metabolic process,
5530,,KFG77472.1,16021,CC,integral component of membrane,
5530,,KFG77472.1,6508,BP,proteolysis,
5530,,KFG77472.1,4252,MF,serine-type endopeptidase activity,
5530,,KFG77473.1,30196,MF,cyanide hydratase activity,
5530,,KFG77473.1,19500,BP,cyanide catabolic process,
5530,,KFG77473.1,5887,CC,integral component of plasma membrane,
5530,,KFG77473.1,16810,MF,hydrolase activity,
5530,,KFG77473.1,16746,MF,transferase activity,
5530,,KFG77473.1,55085,BP,transmembrane transport,
5530,,KFG77475.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77475.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG77475.1,5634,CC,nucleus,
5530,,KFG77475.1,8270,MF,zinc ion binding,
5530,,KFG77475.1,4022,MF,alcohol dehydrogenase (NAD) activity,
5530,,KFG77475.1,16021,CC,integral component of membrane,
5530,,KFG77475.1,71949,MF,FAD binding,
5530,,KFG77475.1,55114,BP,oxidation-reduction process,
5530,,KFG77476.1,4185,MF,serine-type carboxypeptidase activity,
5530,,KFG77476.1,6508,BP,proteolysis,
5530,,KFG77476.1,44257,BP,cellular protein catabolic process,
5530,,KFG77477.1,16829,MF,lyase activity,
5530,,KFG77477.1,6520,BP,cellular amino acid metabolic process,
5530,,KFG77477.1,9820,BP,alkaloid metabolic process,
5530,,KFG77477.1,16765,MF,transferase activity,
5530,,KFG77477.1,8483,MF,transaminase activity,
5530,,KFG77477.1,46218,BP,indolalkylamine catabolic process,
5530,,KFG77477.1,51213,MF,dioxygenase activity,
5530,,KFG77477.1,46395,BP,carboxylic acid catabolic process,
5530,,KFG77477.1,55114,BP,oxidation-reduction process,
5530,,KFG77478.1,4818,MF,glutamate-tRNA ligase activity,
5530,,KFG77478.1,6424,BP,glutamyl-tRNA aminoacylation,
5530,,KFG77478.1,17102,CC,methionyl glutamyl tRNA synthetase complex,
5530,,KFG77478.1,10494,CC,cytoplasmic stress granule,
5530,,KFG77478.1,5524,MF,ATP binding,
5530,,KFG77478.1,5739,CC,mitochondrion,
5530,,KFG77478.1,5634,CC,nucleus,
5530,,KFG77478.1,16021,CC,integral component of membrane,
5530,,KFG77478.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77478.1,19905,MF,syntaxin binding,
5530,,KFG77478.1,8270,MF,zinc ion binding,
5530,,KFG77478.1,16616,MF,oxidoreductase activity,
5530,,KFG77478.1,8080,MF,N-acetyltransferase activity,
5530,,KFG77478.1,18580,MF,nitronate monooxygenase activity,
5530,,KFG77478.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG77478.1,3887,MF,DNA-directed DNA polymerase activity,
5530,,KFG77478.1,3677,MF,DNA binding,
5530,,KFG77478.1,55114,BP,oxidation-reduction process,
5530,,KFG77478.1,71897,BP,DNA biosynthetic process,
5530,,KFG77478.1,6260,BP,DNA replication,
5530,,KFG77479.1,5087,MF,Ran guanyl-nucleotide exchange factor activity,
5530,,KFG77479.1,31291,BP,Ran protein signal transduction,
5530,,KFG77479.1,1990023,CC,mitotic spindle midzone,
5530,,KFG77479.1,32888,BP,regulation of mitotic spindle elongation,
