qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
KID59140.1	319.070907734	1.46247263521	2	569	0.720687348533	0.00577166789741	7.26847549302e-08	Reverse transcriptase family protein (Fragment)	
KID59140.1	111.950570192	4.51161523545	8	43956	0.655280735633	0.038680162894	1.06109883407e-06	Integrase catalytic domain-containing protein	
KID59141.1	207.626236133	2.36102730863	3	4951	0.693139095888	0.0379030074637	3.73964107527e-07	Gag-Pol polyprotein (Fragment)	
KID59141.1	50.6131073024	0.718329916702	1	7708	0.613068730119	0.00532733364632	1.82678506821e-08	Integrase catalytic domain-containing protein (Fragment)	
KID59142.1	883.717507698	1.70177232871	2	310	0.944586770386	0.00207503179313	2.28325369214e-08	Ankyrin repeat-containing domain protein (Fragment)	
KID59143.1	98.0372130106	5.92456243528	9	110653	0.63745634499	0.0155498686055	1.4712186454e-06	Reverse transcriptase	
KID59144.1	924.585089994	6.4026605277	10	428	1.00931597016	0.0933619106588	6.0757076662e-06	Efflux pump antibiotic resistance protein (Fragment)	
KID59144.1	325.675360962	0.654075090404	1	36	0.727642515696	0.0139101342234	8.65269572936e-09	Poly(ADP)-ribose polymerase	
KID59144.1	41.2230086242	11.434611109	20	675530	0.690650381486	0.15879455224	3.26745222252e-06	MFS transporter	
KID59144.1	90.2293647375	0.552021968757	1	334	0.649318489561	0.0438238597552	4.89978324217e-06	Putative HC-toxin efflux carrier TOXA	
KID59144.1	93.2449849069	0.554004235734	1	315	0.631951581154	0.00878032486142	7.50711769957e-07	Sucrose/H+ symporter, plant	
KID59144.1	49.9425063447	2.90154081493	5	30018	0.630940168909	0.0395531214578	5.99900926501e-07	Major facilitator superfamily domain, general substrate transporter	
KID59146.1	556.98068825	3.0433701243	4	1164	0.945262936927	0.249944385122	6.87563489445e-06	Ankyrin repeat-containing domain protein (Fragment)	
KID59153.1	6.79568305265e-15	0.807464895172	1	9	0.854682491611	0.499400910616	4.49225831137e-07	2-oxoglutarate dehydrogenase complex	
KID59155.1	6.11610012594e-12	0.618856631557	1	300	1.11844027821	0.997057092407	9.61906155757e-07	P-type ATPase	
KID59156.1	325.093947151	4.1170126822	5	5729	0.779070382761	0.111380313577	6.18852216223e-05	Extracellular membrane protein, CFEM domain protein (Fragment)	
KID59159.1	924.585089994	6.4026605277	10	428	1.00931597016	0.0933619106588	6.0757076662e-06	Efflux pump antibiotic resistance protein (Fragment)	
KID59159.1	325.675360962	0.654075090404	1	36	0.727642515696	0.0139101342234	8.65269572936e-09	Poly(ADP)-ribose polymerase	
KID59159.1	41.2230086242	11.434611109	20	675530	0.690650381486	0.15879455224	3.26745222252e-06	MFS transporter	
KID59159.1	90.2293647375	0.552021968757	1	334	0.649318489561	0.0438238597552	4.89978324217e-06	Putative HC-toxin efflux carrier TOXA	
KID59159.1	93.2449849069	0.554004235734	1	315	0.631951581154	0.00878032486142	7.50711769957e-07	Sucrose/H+ symporter, plant	
KID59159.1	49.9425063447	2.90154081493	5	30018	0.630940168909	0.0395531214578	5.99900926501e-07	Major facilitator superfamily domain, general substrate transporter	
KID59161.1	2593.30940277	1.7026555854	2	36	1.72003053903	0.174917724494	1.91969348154e-05	Retrotransposon nucleocapsid protein (Fragment)	
KID59162.1	245.473054143	12.6828453005	21	40951	0.701012140091	0.0241940570622	3.40956336648e-06	Alkali-sensitive linkage protein 1	
KID59165.1	6.11610012594e-12	0.622173716895	1	300	1.11844985837	0.997075168178	9.61923594272e-07	P-type ATPase	
KID59166.1	523.084019534	0.527137245041	1	34	0.806313158154	0.0133576400398	5.59472672675e-08	Cell wall	
KID59166.1	312.322504647	4.08570851057	5	5729	0.749239376837	0.0647352079712	3.57376691056e-05	Extracellular membrane protein, CFEM domain protein (Fragment)	
KID59170.1	245.473054143	12.6828453005	21	40951	0.701012140091	0.0241940570622	3.40956336648e-06	Alkali-sensitive linkage protein 1	
KID59172.1	564.607010321	3.21076672159	4	1164	0.933599959856	0.222183082053	6.11195867107e-06	Ankyrin repeat-containing domain protein (Fragment)	
KID59173.1	564.224198447	3.20123993865	4	1164	0.933446428297	0.222182314489	6.1119375564e-06	Ankyrin repeat-containing domain protein (Fragment)	
KID59176.1	650.322441249	3.73175693163	7	1283	0.902261815411	0.0983638219361	6.64272252626e-07	Actin-like ATPase domain-containing protein	
KID59176.1	184.229322746	0.575346322852	1	380	0.665268658835	0.0029753350165	1.08916645917e-07	Heat shock protein Hsp70 (Fragment)	
KID59178.1	4920.05979298	1.69981023621	2	5	2.56094189667	0.00550510360357	1.37284379141e-05	TipA protein, partial [Metarhizium anisopliae ARSEF 549]	
KID59179.1	290.342415826	3.6579149451	6	8540	0.711257040808	0.00965998726982	1.40612421815e-05	ATP-dependent RNA helicase	
KID59183.1	7.85580805462e-14	0.714103967427	1	34	0.766608488262	0.333223543362	5.13994392033e-07	Ribonuclease H domain protein	
