organism	id	protein_id	go_id	ontology	description		
1276135		KID59140.1	3964	MF	RNA-directed DNA polymerase activity		
1276135		KID59140.1	6278	BP	RNA-dependent DNA biosynthetic process		
1276135		KID59140.1	3676	MF	nucleic acid binding		
1276135		KID59140.1	15074	BP	DNA integration		
1276135		KID59140.1	902	BP	cell morphogenesis		
1276135		KID59141.1	15074	BP	DNA integration		
1276135		KID59141.1	3676	MF	nucleic acid binding		
1276135		KID59141.1	3887	MF	DNA-directed DNA polymerase activity		
1276135		KID59141.1	16787	MF	hydrolase activity		
1276135		KID59141.1	71897	BP	DNA biosynthetic process		
1276135		KID59142.1	19901	MF	protein kinase binding		
1276135		KID59142.1	7165	BP	signal transduction		
1276135		KID59142.1	32421	CC	stereocilium bundle		
1276135		KID59142.1	19208	MF	phosphatase regulator activity		
1276135		KID59142.1	5216	MF	ion channel activity		
1276135		KID59142.1	50790	BP	regulation of catalytic activity		
1276135		KID59142.1	502	CC	proteasome complex		
1276135		KID59142.1	6811	BP	ion transport		
1276135		KID59142.1	31224	CC	intrinsic component of membrane		
1276135		KID59142.1	50955	BP	thermoception		
1276135		KID59142.1	50968	BP	detection of chemical stimulus involved in sensory perception of pain		
1276135		KID59142.1	5737	CC	cytoplasm		
1276135		KID59142.1	50966	BP	detection of mechanical stimulus involved in sensory perception of pain		
1276135		KID59142.1	48265	BP	response to pain		
1276135		KID59142.1	15085	MF	calcium ion transmembrane transporter activity		
1276135		KID59142.1	44459	CC	plasma membrane part		
1276135		KID59142.1	5634	CC	nucleus		
1276135		KID59142.1	55085	BP	transmembrane transport		
1276135		KID59142.1	51289	BP	protein homotetramerization		
1276135		KID59142.1	42542	BP	response to hydrogen peroxide		
1276135		KID59142.1	22834	MF	ligand-gated channel activity		
1276135		KID59142.1	1904855	MF	proteasome regulatory particle binding		
1276135		KID59142.1	51283	BP	negative regulation of sequestering of calcium ion		
1276135		KID59142.1	42802	MF	identical protein binding		
1276135		KID59142.1	22839	MF	ion gated channel activity		
1276135		KID59142.1	8270	MF	zinc ion binding		
1276135		KID59142.1	19706	MF	protein-cysteine S-palmitoyltransferase activity		
1276135		KID59142.1	45263	CC	proton-transporting ATP synthase complex		
1276135		KID59142.1	7204	BP	positive regulation of cytosolic calcium ion concentration		
1276135		KID59142.1	19866	CC	organelle inner membrane		
1276135		KID59142.1	9409	BP	response to cold		
1276135		KID59142.1	9	MF	alpha-1		
1276135		KID59142.1	19948	MF	SUMO activating enzyme activity		
1276135		KID59142.1	16301	MF	kinase activity		
1276135		KID59142.1	8081	MF	phosphoric diester hydrolase activity		
1276135		KID59142.1	14070	BP	response to organic cyclic compound		
1276135		KID59142.1	35639	MF	purine ribonucleoside triphosphate binding		
1276135		KID59142.1	32555	MF	purine ribonucleotide binding		
1276135		KID59142.1	16773	MF	phosphotransferase activity		
1276135		KID59142.1	3924	MF	GTPase activity		
1276135		KID59142.1	32550	MF	purine ribonucleoside binding		
1276135		KID59142.1	19001	MF	guanyl nucleotide binding		
1276135		KID59142.1	30554	MF	adenyl nucleotide binding		
1276135		KID59142.1	8144	MF	drug binding		
1276135		KID59142.1	4252	MF	serine-type endopeptidase activity		
1276135		KID59142.1	70682	BP	proteasome regulatory particle assembly		
1276135		KID59142.1	4842	MF	ubiquitin-protein transferase activity		
1276135		KID59142.1	51649	BP	establishment of localization in cell		
1276135		KID59142.1	15078	MF	proton transmembrane transporter activity		
1276135		KID59142.1	3677	MF	DNA binding		
1276135		KID59142.1	32446	BP	protein modification by small protein conjugation		
1276135		KID59142.1	48037	MF	cofactor binding		
1276135		KID59142.1	5509	MF	calcium ion binding		
1276135		KID59142.1	46906	MF	tetrapyrrole binding		
1276135		KID59142.1	9055	MF	electron transfer activity		
1276135		KID59142.1	9116	BP	nucleoside metabolic process		
1276135		KID59142.1	6468	BP	protein phosphorylation		
