organism	id	protein_id	go_id	ontology	description
1276135		KID59140.1	0003964	MF	RNA-directed DNA polymerase activity
1276135		KID59140.1	0006278	BP	RNA-dependent DNA biosynthetic process
1276135		KID59140.1	0003676	MF	nucleic acid binding
1276135		KID59140.1	0015074	BP	DNA integration
1276135		KID59140.1	0000902	BP	cell morphogenesis
1276135		KID59141.1	0015074	BP	DNA integration
1276135		KID59141.1	0003676	MF	nucleic acid binding
1276135		KID59141.1	0003887	MF	DNA-directed DNA polymerase activity
1276135		KID59141.1	0016787	MF	hydrolase activity
1276135		KID59141.1	0071897	BP	DNA biosynthetic process
1276135		KID59142.1	0019901	MF	protein kinase binding
1276135		KID59142.1	0007165	BP	signal transduction
1276135		KID59142.1	0032421	CC	stereocilium bundle
1276135		KID59142.1	0019208	MF	phosphatase regulator activity
1276135		KID59142.1	0005216	MF	ion channel activity
1276135		KID59142.1	0050790	BP	regulation of catalytic activity
1276135		KID59142.1	0000502	CC	proteasome complex
1276135		KID59142.1	0006811	BP	ion transport
1276135		KID59142.1	0031224	CC	intrinsic component of membrane
1276135		KID59142.1	0050955	BP	thermoception
1276135		KID59142.1	0050968	BP	detection of chemical stimulus involved in sensory perception of pain
1276135		KID59142.1	0005737	CC	cytoplasm
1276135		KID59142.1	0050966	BP	detection of mechanical stimulus involved in sensory perception of pain
1276135		KID59142.1	0048265	BP	response to pain
1276135		KID59142.1	0015085	MF	calcium ion transmembrane transporter activity
1276135		KID59142.1	0044459	CC	plasma membrane part
1276135		KID59142.1	0005634	CC	nucleus
1276135		KID59142.1	0055085	BP	transmembrane transport
1276135		KID59142.1	0051289	BP	protein homotetramerization
1276135		KID59142.1	0042542	BP	response to hydrogen peroxide
1276135		KID59142.1	0022834	MF	ligand-gated channel activity
1276135		KID59142.1	1904855	MF	proteasome regulatory particle binding
1276135		KID59142.1	0051283	BP	negative regulation of sequestering of calcium ion
1276135		KID59142.1	0042802	MF	identical protein binding
1276135		KID59142.1	0022839	MF	ion gated channel activity
1276135		KID59142.1	0008270	MF	zinc ion binding
1276135		KID59142.1	0019706	MF	protein-cysteine S-palmitoyltransferase activity
1276135		KID59142.1	0045263	CC	proton-transporting ATP synthase complex, coupling factor F(o)
1276135		KID59142.1	0007204	BP	positive regulation of cytosolic calcium ion concentration
1276135		KID59142.1	0019866	CC	organelle inner membrane
1276135		KID59142.1	0009409	BP	response to cold
1276135		KID59142.1	0000009	MF	alpha-1,6-mannosyltransferase activity
1276135		KID59142.1	0019948	MF	SUMO activating enzyme activity
1276135		KID59142.1	0016301	MF	kinase activity
1276135		KID59142.1	0008081	MF	phosphoric diester hydrolase activity
1276135		KID59142.1	0014070	BP	response to organic cyclic compound
1276135		KID59142.1	0035639	MF	purine ribonucleoside triphosphate binding
1276135		KID59142.1	0032555	MF	purine ribonucleotide binding
1276135		KID59142.1	0016773	MF	phosphotransferase activity, alcohol group as acceptor
1276135		KID59142.1	0003924	MF	GTPase activity
1276135		KID59142.1	0032550	MF	purine ribonucleoside binding
1276135		KID59142.1	0019001	MF	guanyl nucleotide binding
1276135		KID59142.1	0030554	MF	adenyl nucleotide binding
1276135		KID59142.1	0008144	MF	drug binding
1276135		KID59142.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59142.1	0070682	BP	proteasome regulatory particle assembly
1276135		KID59142.1	0004842	MF	ubiquitin-protein transferase activity
1276135		KID59142.1	0051649	BP	establishment of localization in cell
1276135		KID59142.1	0015078	MF	proton transmembrane transporter activity
1276135		KID59142.1	0003677	MF	DNA binding
1276135		KID59142.1	0032446	BP	protein modification by small protein conjugation
1276135		KID59142.1	0048037	MF	cofactor binding
1276135		KID59142.1	0005509	MF	calcium ion binding
1276135		KID59142.1	0046906	MF	tetrapyrrole binding
1276135		KID59142.1	0009055	MF	electron transfer activity
1276135		KID59142.1	0009116	BP	nucleoside metabolic process
1276135		KID59142.1	0006468	BP	protein phosphorylation
1276135		KID59142.1	0006629	BP	lipid metabolic process
1276135		KID59142.1	0097502	BP	mannosylation
1276135		KID59142.1	0007064	BP	mitotic sister chromatid cohesion
1276135		KID59142.1	0006915	BP	apoptotic process
1276135		KID59142.1	0030154	BP	cell differentiation
1276135		KID59142.1	0018205	BP	peptidyl-lysine modification
1276135		KID59142.1	0006754	BP	ATP biosynthetic process
1276135		KID59142.1	0050793	BP	regulation of developmental process
1276135		KID59142.1	0006508	BP	proteolysis
1276135		KID59142.1	1901575	BP	organic substance catabolic process
1276135		KID59142.1	0022900	BP	electron transport chain
1276135		KID59143.1	0003964	MF	RNA-directed DNA polymerase activity
1276135		KID59143.1	0006278	BP	RNA-dependent DNA biosynthetic process
1276135		KID59143.1	0005871	CC	kinesin complex
1276135		KID59143.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59143.1	0003676	MF	nucleic acid binding
1276135		KID59143.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59143.1	0005887	CC	integral component of plasma membrane
1276135		KID59143.1	0008270	MF	zinc ion binding
1276135		KID59143.1	0003777	MF	microtubule motor activity
1276135		KID59143.1	0004527	MF	exonuclease activity
1276135		KID59143.1	0016813	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
1276135		KID59143.1	0015299	MF	solute:proton antiporter activity
1276135		KID59143.1	0009116	BP	nucleoside metabolic process
1276135		KID59143.1	0055085	BP	transmembrane transport
1276135		KID59143.1	0015672	BP	monovalent inorganic cation transport
1276135		KID59143.1	0015074	BP	DNA integration
1276135		KID59143.1	0006355	BP	regulation of transcription, DNA-templated
1276135		KID59143.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59143.1	0016491	MF	oxidoreductase activity
1276135		KID59143.1	0055114	BP	oxidation-reduction process
1276135		KID59143.1	0006508	BP	proteolysis
1276135		KID59144.1	0005887	CC	integral component of plasma membrane
1276135		KID59144.1	0055085	BP	transmembrane transport
1276135		KID59145.1	0009116	BP	nucleoside metabolic process
1276135		KID59145.1	0004190	MF	aspartic-type endopeptidase activity
1276135		KID59145.1	0016021	CC	integral component of membrane
1276135		KID59145.1	0046873	MF	metal ion transmembrane transporter activity
1276135		KID59145.1	0004525	MF	ribonuclease III activity
1276135		KID59145.1	0030001	BP	metal ion transport
1276135		KID59145.1	0006508	BP	proteolysis
1276135		KID59145.1	0046983	MF	protein dimerization activity
1276135		KID59145.1	0018024	MF	histone-lysine N-methyltransferase activity
1276135		KID59145.1	0034035	BP	purine ribonucleoside bisphosphate metabolic process
1276135		KID59145.1	0055085	BP	transmembrane transport
1276135		KID59145.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59145.1	0034968	BP	histone lysine methylation
1276135		KID59145.1	0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
1276135		KID59145.1	0005506	MF	iron ion binding
1276135		KID59145.1	0020037	MF	heme binding
1276135		KID59145.1	0003676	MF	nucleic acid binding
1276135		KID59145.1	0009150	BP	purine ribonucleotide metabolic process
1276135		KID59145.1	0006396	BP	RNA processing
1276135		KID59145.1	0006629	BP	lipid metabolic process
1276135		KID59145.1	0055114	BP	oxidation-reduction process
1276135		KID59155.1	0016021	CC	integral component of membrane
1276135		KID59159.1	0005887	CC	integral component of plasma membrane
1276135		KID59159.1	0055085	BP	transmembrane transport
1276135		KID59162.1	0016787	MF	hydrolase activity
1276135		KID59162.1	0071966	BP	fungal-type cell wall polysaccharide metabolic process
1276135		KID59162.1	0009277	CC	fungal-type cell wall
1276135		KID59162.1	0016987	MF	sigma factor activity
1276135		KID59162.1	0003700	MF	DNA-binding transcription factor activity
1276135		KID59162.1	0005576	CC	extracellular region
1276135		KID59162.1	0003677	MF	DNA binding
1276135		KID59162.1	0016021	CC	integral component of membrane
1276135		KID59162.1	2000142	BP	regulation of DNA-templated transcription, initiation
1276135		KID59162.1	0006352	BP	DNA-templated transcription, initiation
1276135		KID59162.1	0006508	BP	proteolysis
1276135		KID59165.1	0016021	CC	integral component of membrane
1276135		KID59170.1	0016787	MF	hydrolase activity
1276135		KID59170.1	0071966	BP	fungal-type cell wall polysaccharide metabolic process
1276135		KID59170.1	0009277	CC	fungal-type cell wall
1276135		KID59170.1	0016987	MF	sigma factor activity
1276135		KID59170.1	0003700	MF	DNA-binding transcription factor activity
1276135		KID59170.1	0005576	CC	extracellular region
1276135		KID59170.1	0003677	MF	DNA binding
1276135		KID59170.1	0016021	CC	integral component of membrane
1276135		KID59170.1	2000142	BP	regulation of DNA-templated transcription, initiation
1276135		KID59170.1	0006352	BP	DNA-templated transcription, initiation
1276135		KID59170.1	0006508	BP	proteolysis
1276135		KID59176.1	0005524	MF	ATP binding
1276135		KID59178.1	0043666	BP	regulation of phosphoprotein phosphatase activity
1276135		KID59178.1	0004222	MF	metalloendopeptidase activity
1276135		KID59178.1	0005829	CC	cytosol
1276135		KID59178.1	0005743	CC	mitochondrial inner membrane
1276135		KID59178.1	0046872	MF	metal ion binding
1276135		KID59178.1	0003723	MF	RNA binding
1276135		KID59178.1	0006508	BP	proteolysis
1276135		KID59178.1	0007165	BP	signal transduction
1276135		KID59178.1	0016021	CC	integral component of membrane
1276135		KID59178.1	0055085	BP	transmembrane transport
1276135		KID59179.1	0004386	MF	helicase activity
1276135		KID59179.1	0006355	BP	regulation of transcription, DNA-templated
1276135		KID59179.1	0003676	MF	nucleic acid binding
1276135		KID59179.1	0005524	MF	ATP binding
1276135		KID59179.1	0006468	BP	protein phosphorylation
1276135		KID59179.1	0004672	MF	protein kinase activity
1276135		KID59183.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59183.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59183.1	0003676	MF	nucleic acid binding
1276135		KID59185.1	0009116	BP	nucleoside metabolic process
1276135		KID59185.1	0046873	MF	metal ion transmembrane transporter activity
1276135		KID59185.1	0016021	CC	integral component of membrane
1276135		KID59185.1	0004525	MF	ribonuclease III activity
1276135		KID59185.1	0030001	BP	metal ion transport
1276135		KID59185.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59185.1	0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
1276135		KID59185.1	0005506	MF	iron ion binding
1276135		KID59185.1	0020037	MF	heme binding
1276135		KID59185.1	0055085	BP	transmembrane transport
1276135		KID59185.1	0006396	BP	RNA processing
1276135		KID59185.1	0034035	BP	purine ribonucleoside bisphosphate metabolic process
1276135		KID59185.1	0009150	BP	purine ribonucleotide metabolic process
1276135		KID59185.1	0006629	BP	lipid metabolic process
1276135		KID59185.1	0055114	BP	oxidation-reduction process
1276135		KID59188.1	0007165	BP	signal transduction
1276135		KID59188.1	0016021	CC	integral component of membrane
1276135		KID59189.1	0016021	CC	integral component of membrane
1276135		KID59189.1	0005227	MF	calcium activated cation channel activity
1276135		KID59189.1	0034220	BP	ion transmembrane transport
1276135		KID59189.1	0005886	CC	plasma membrane
1276135		KID59190.1	0071949	MF	FAD binding
1276135		KID59190.1	0055114	BP	oxidation-reduction process
1276135		KID59190.1	0016021	CC	integral component of membrane
1276135		KID59190.1	0016491	MF	oxidoreductase activity
1276135		KID59191.1	0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
1276135		KID59191.1	0055114	BP	oxidation-reduction process
1276135		KID59191.1	0016021	CC	integral component of membrane
1276135		KID59191.1	0005506	MF	iron ion binding
1276135		KID59191.1	0020037	MF	heme binding
1276135		KID59191.1	0046854	BP	phosphatidylinositol phosphorylation
1276135		KID59191.1	0004497	MF	monooxygenase activity
1276135		KID59191.1	0016311	BP	dephosphorylation
1276135		KID59191.1	0006790	BP	sulfur compound metabolic process
1276135		KID59191.1	0008441	MF	3'(2'),5'-bisphosphate nucleotidase activity
1276135		KID59191.1	0019748	BP	secondary metabolic process
1276135		KID59191.1	0008410	MF	CoA-transferase activity
1276135		KID59191.1	0016811	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
1276135		KID59191.1	0032259	BP	methylation
1276135		KID59191.1	0008168	MF	methyltransferase activity
1276135		KID59207.1	0000723	BP	telomere maintenance
1276135		KID59207.1	0003678	MF	DNA helicase activity
1276135		KID59207.1	0005634	CC	nucleus
1276135		KID59207.1	0032508	BP	DNA duplex unwinding
1276135		KID59207.1	0006310	BP	DNA recombination
1276135		KID59207.1	0006281	BP	DNA repair
1276135		KID59207.1	0005524	MF	ATP binding
1276135		KID59207.1	0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific
1276135		KID59207.1	0008270	MF	zinc ion binding
1276135		KID59207.1	0050660	MF	flavin adenine dinucleotide binding
1276135		KID59207.1	0016614	MF	oxidoreductase activity, acting on CH-OH group of donors
1276135		KID59207.1	0006357	BP	regulation of transcription by RNA polymerase II
1276135		KID59207.1	0016747	MF	transferase activity, transferring acyl groups other than amino-acyl groups
1276135		KID59207.1	0003676	MF	nucleic acid binding
1276135		KID59207.1	0046983	MF	protein dimerization activity
1276135		KID59207.1	0055114	BP	oxidation-reduction process
1276135		KID59208.1	0046983	MF	protein dimerization activity
1276135		KID59208.1	0055085	BP	transmembrane transport
1276135		KID59208.1	0016021	CC	integral component of membrane
1276135		KID59208.1	0003677	MF	DNA binding
1276135		KID59208.1	0022857	MF	transmembrane transporter activity
1276135		KID59209.1	0016757	MF	transferase activity, transferring glycosyl groups
1276135		KID59209.1	0016021	CC	integral component of membrane
1276135		KID59210.1	0003676	MF	nucleic acid binding
1276135		KID59210.1	0005655	CC	nucleolar ribonuclease P complex
